id,version,title,canonicalID
1,1,Behavioral & Social Science Research Protocol Template,behavioral_social_science
2,1,Interventional Drug and Device Clinical Trials Protocol Template,interventional
3,1,Natural History and Observational Trials Protocol Template,natural_history_observational
4,1,Prospective Data Collection Protocol Template,prospective_data_collection
5,1,Repository Protocol Template,repository
6,1,Retrospective Data or Biospecimen Review Protocol Template,retrospective_review
7,1,Secondary Research Protocol Template,secondary_research
