id,providerId,name,internalName,cost1kInput,cost1kOutput,cost1kCacheRead,cost1kCacheWrite,maxContext,maxOutput,maxReasoning
1,1,Opus 4.6,us.anthropic.claude-opus-4-6-v1,0.005,0.025,0.0005,0.00625,200000,64000,60000
2,1,Sonnet 4.6,us.anthropic.claude-sonnet-4-6,0.003,0.015,0.0003,0.00375,1000000,64000,60000
3,1,Haiku 4.5,us.anthropic.claude-haiku-4-5-20251001-v1:0,0.001,0.005,0.00008,0.001,200000,32000,30000
4,1,Maverick,us.meta.llama4-maverick-17b-instruct-v1:0,0.00024,0.00097,null,null,1000000,8192,0
5,1,Scout,us.meta.llama4-scout-17b-instruct-v1:0,0.00017,0.00066,null,null,3500000,8192,0
10,2,Gemini 2.5 Pro,gemini-2.5-pro-preview-06-05,0.0025,0.015,null,null,1048576,65536,1000000
11,2,Gemini 2.5 Flash,gemini-2.5-flash-preview-04-17,0.00015,0.0035,null,null,1048576,65536,1000000
99,99,Mock Model,mock-model,0.0000001,0.0000005,0.00000001,0.00000012,1000000,100000,500000
